var,id_entidad,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cicl,06,3.0,2.0,6.0,7.0,8.0,0.0,4.0,3.0,1.0,3.0,2.0,6.0,3.0,2.0,16.0,1.0,6.0,13.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0
cicl,07,3.0,4.0,2.0,4.0,9.0,3.0,4.0,6.0,5.0,5.0,6.0,7.0,8.0,7.0,6.0,1.0,8.0,7.0,6.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0
cicl,08,6.0,6.0,9.0,8.0,3.0,4.0,7.0,7.0,6.0,5.0,8.0,4.0,5.0,7.0,5.0,1.0,4.0,3.0,4.0,12.0,5.0,16.0,5.0,2.0,4.0,3.0
cicl,09,1.0,1.0,8.0,4.0,6.0,5.0,6.0,8.0,10.0,7.0,3.0,10.0,14.0,6.0,10.0,6.0,6.0,10.0,4.0,4.0,5.0,8.0,5.0,3.0,4.0,12.0
cicl,10,8.0,7.0,15.0,20.0,12.0,13.0,16.0,15.0,12.0,11.0,12.0,17.0,9.0,7.0,11.0,8.0,15.0,15.0,14.0,8.0,8.0,11.0,7.0,5.0,4.0,4.0
cicl,11,15.0,18.0,15.0,17.0,19.0,9.0,12.0,15.0,10.0,11.0,18.0,21.0,20.0,14.0,23.0,24.0,20.0,23.0,17.0,26.0,18.0,22.0,13.0,12.0,12.0,17.0
cicl,12,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
cicl,13,3.0,3.0,1.0,3.0,0.0,4.0,2.0,4.0,6.0,2.0,0.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
cicl,14,42.0,5.0,15.0,41.0,30.0,48.0,50.0,44.0,16.0,19.0,18.0,9.0,21.0,11.0,10.0,25.0,15.0,16.0,13.0,11.0,14.0,9.0,7.0,10.0,10.0,15.0
cicl,15,5.0,8.0,51.0,16.0,19.0,6.0,4.0,10.0,9.0,10.0,1.0,30.0,72.0,64.0,21.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0
cicl,16,5.0,9.0,12.0,8.0,6.0,6.0,8.0,9.0,8.0,12.0,9.0,199.0,99.0,97.0,26.0,8.0,13.0,8.0,6.0,4.0,2.0,1.0,9.0,5.0,6.0,7.0
cicl,17,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,5.0,4.0,4.0,5.0,6.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,5.0,0.0,2.0,3.0,2.0,1.0
cicl,18,4.0,6.0,4.0,6.0,3.0,3.0,2.0,5.0,6.0,4.0,2.0,25.0,9.0,5.0,5.0,3.0,2.0,2.0,0.0,5.0,4.0,0.0,1.0,2.0,1.0,1.0
cicl,19,8.0,14.0,8.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,6.0,6.0,12.0,12.0,13.0,8.0,7.0,7.0,9.0,8.0,7.0,4.0,3.0,9.0,10.0,6.0
cicl,20,6.0,6.0,6.0,3.0,3.0,3.0,4.0,1.0,1.0,0.0,4.0,2.0,5.0,3.0,7.0,5.0,2.0,5.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
cicl,21,6.0,5.0,3.0,7.0,3.0,8.0,10.0,5.0,5.0,5.0,7.0,5.0,8.0,7.0,7.0,10.0,8.0,4.0,4.0,5.0,9.0,11.0,6.0,12.0,7.0,9.0
cicl,22,2.0,3.0,1.0,3.0,7.0,6.0,2.0,6.0,3.0,4.0,3.0,4.0,6.0,1.0,5.0,4.0,2.0,7.0,5.0,3.0,3.0,3.0,6.0,8.0,6.0,8.0
cicl,23,4.0,7.0,8.0,14.0,9.0,6.0,7.0,10.0,7.0,12.0,4.0,8.0,22.0,18.0,3.0,17.0,14.0,7.0,6.0,7.0,13.0,7.0,3.0,11.0,10.0,3.0
cicl,24,14.0,11.0,22.0,18.0,18.0,17.0,12.0,16.0,17.0,8.0,12.0,10.0,9.0,9.0,13.0,15.0,5.0,9.0,10.0,11.0,11.0,7.0,6.0,6.0,6.0,6.0
cicl,25,7.0,7.0,4.0,14.0,18.0,27.0,24.0,19.0,21.0,23.0,22.0,15.0,15.0,23.0,12.0,19.0,13.0,14.0,15.0,20.0,13.0,28.0,15.0,13.0,8.0,8.0
cicl,26,3.0,8.0,15.0,23.0,19.0,21.0,17.0,21.0,15.0,16.0,123.0,29.0,27.0,18.0,15.0,20.0,14.0,18.0,21.0,15.0,13.0,15.0,12.0,14.0,6.0,9.0
cicl,27,6.0,7.0,7.0,7.0,3.0,10.0,5.0,2.0,0.0,0.0,1.0,0.0,10.0,4.0,6.0,6.0,8.0,6.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
cicl,28,20.0,10.0,13.0,2.0,9.0,11.0,10.0,8.0,12.0,14.0,12.0,7.0,14.0,12.0,10.0,10.0,16.0,17.0,11.0,10.0,6.0,7.0,4.0,10.0,10.0,8.0
